Institutions,Date,Title,Subject Area,Journal,Link
"IBS","2025-08-24","Association of Interleukin-27 (IL-27) rs181206 T/C and rs17855750 T/G Gene Polymorphisms and the Risk of Hepatitis B Infection among Egyptians","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849701/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","The Functional Interplay among GAD2, GABRG2, and CACNA1G Genes in Cancers","Cancer Research","","https://pubmed.ncbi.nlm.nih.gov/40849687/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Dynamical properties of chromatin provide insights into key folding principles","Multidisciplinary","nature","https://pubmed.ncbi.nlm.nih.gov/40849682/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","SugarcaneOmics: An integrative multi-omics platform for sugarcane research","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849681/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Carbon Monoxide Alleviates Cardiomyocyte Pyroptosis in Diabetic Cardiomyopathy by Downregulating the IL-33/ST2L Axis","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849678/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Cost-effectiveness of spinal manipulation, exercise, and self-management for spinal pain","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849676/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Comparison of the Clinical Efficacy of the Anterolateral and Regular Approaches for Hip Joint Puncture: A Randomized Cross-Over Trial","Biomedical","","https://pubmed.ncbi.nlm.nih.gov/40849673/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS","2025-08-24","Integrated analysis of O/K-antigen biosynthesis diversity and molecular serotyping scheme development of Vibrio alginolyticus","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849642/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1HyCEy3kccvK7zE0-AQi3b_3KChicv5K_t8YL3UITyEWtrEgUY&fc=20250822210237&ff=20250824151738&v=2.18.0.post9+e462414"
"IBS & KAIST & SNU","2025-08-23","Relationship between caregiving burden and alterations in circadian rhythms among spousal caregivers of individuals with cognitive impairment","Neuroscience","","https://pubmed.ncbi.nlm.nih.gov/40849457/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"IBS & KAIST","2025-08-23","High fat diet enhances catalase loading into adipose tissue derived extracellular vesicles with limited effect on oxidative stress","Multidisciplinary","cell","https://pubmed.ncbi.nlm.nih.gov/40849334/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"IBS & KAIST","2025-08-23","A continuous real-world dataset comprising wearable-based heart rate variability alongside sleep diaries","Biomedical","","https://pubmed.ncbi.nlm.nih.gov/40849317/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"KAIST & SNU","2025-08-23","Exploiting anisotropic orientation in Nanoparticle-Aided Cryo-Electron microscopy sampling","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848865/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"KAIST & SNU","2025-08-23","The Influence of polycyclic aromatic hydrocarbons exposure on the gut microbiome composition and inflammatory responses","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848419/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"KAIST & SNU","2025-08-23","Photo-Fenton mineralization of aquatic organic pollutants in visible-light-driven photocatalysis: Revisiting Fe<sup>3+</sup> reduction and noble metal necessity","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848412/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"KAIST & Korea University","2025-08-23","An ultrasensitive diagnostic system for minuscule level of hemolytic uremic syndrome","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848339/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"KAIST & SNU","2025-08-23","Middle Interlayer Engineered Ferroelectric NAND Flash Overcoming Reliability and Stability Bottlenecks for Next-Generation High-Density Storage Systems","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40847772/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"KAIST & Korea University & SNU","2025-08-23","Ferroelectric Quantum Dots for Retinomorphic In-Sensor Computing","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40847700/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"KAIST","2025-08-23","Integrating analytical quality by design into bioanalytical method development: an HPLC-FLD method for quantification of alectinib in biological matrix","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40847406/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1lGTpA7S74whuNVC_kQy0F4ncgCxeB9B9U0hbi6Wldiv2cIgV2&fc=20250822163126&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Spatial host-microbiome profiling demonstrates bacterial-associated host transcriptional alterations in pediatric ileal Crohn's disease","Multidisciplinary","cell","https://pubmed.ncbi.nlm.nih.gov/40849632/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Immunoglobulin G dynamics and outcomes of hypogammaglobulinemia in liver transplant recipients","Biomedical","","https://pubmed.ncbi.nlm.nih.gov/40849571/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","The analysis of landscape design and plant selection under deep learning","Computer Science","","https://pubmed.ncbi.nlm.nih.gov/40849568/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Impact of ankle injuries on joint range of motion and muscle viscoelasticity in female amateur volleyball athletes","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849481/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Dural arteriovenous fistula presenting as paradoxical contralateral pulsatile tinnitus due to contralateral otosclerosis-induced mixed hearing loss","Biomedical","","https://pubmed.ncbi.nlm.nih.gov/40849398/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Optimal Number of Lymph Nodes Retrieved to Lower the Risk of False N0 for Patients with Pancreatic Cancer Undergoing Curative Surgery","Cancer Research","","https://pubmed.ncbi.nlm.nih.gov/40849376/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"IBS & SNU","2025-08-23","ASO Author Reflections: Robotic Right Anterior Sectionectomy Using Extrahepatic Glissonean Approach and ICG Fluorescence-Enhancing Precision in Complex Liver Surgery","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40849375/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Impact of smoking and physical activity on cardiovascular outcomes in type 2 diabetes across steatotic liver disease categories","Biomedical","","https://pubmed.ncbi.nlm.nih.gov/40849338/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","One-carbon metabolic pathway is a novel molecular signature for CD44-positive intestinal-type gastric cancer","Cancer Research","cell","https://pubmed.ncbi.nlm.nih.gov/40849307/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Cluster-based read-across of ToxCast data identifies buprofezin as a partial PPARγ agonist with obesogenic potential","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848978/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Biorefinery of avocado seed waste for sustainable production of bioplastics and functionalized silver nanocomposites","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848789/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"Korea University & SNU","2025-08-23","Water quality variables and spectral indices as predictors of E. coli concentrations in an irrigation pond: A case study","Computer Science","","https://pubmed.ncbi.nlm.nih.gov/40848368/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Using natural nitrites from Angelica keiskei and high hydrostatic pressure treatment for producing high-quality cured pork loin with significant nitrous pigment formation","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848341/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SKKU & SNU","2025-08-23","Tumor microenvironment-based classification for predicting gastric cancer prognosis","Cancer Research","","https://pubmed.ncbi.nlm.nih.gov/40848322/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"Korea University & SNU","2025-08-23","DeepSMR: Decoding high-complex motor imagery via subject-dependent multi-feature refinement in deep convolutional networks","Neuroscience","science","https://pubmed.ncbi.nlm.nih.gov/40848318/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"Korea University & SNU","2025-08-23","The Molecular Dynamics of Extracellular Vesicles and their Protein Corona in the Secretomes of Stem Cells","Multidisciplinary","cell","https://pubmed.ncbi.nlm.nih.gov/40848102/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Association Between ABCG2 Polymorphism and Statin-Induced Adverse Events: A Meta-Analysis","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40848094/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Electronic Configurational Transformation of Network Modifiers in Aluminate Glass above Megabar Pressures","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40847942/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","Microfocused Ultrasound With Visualization in Skin Quality: A Narrative Review","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40847904/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
"SNU","2025-08-23","How to Treat Skin Quality: A Consensus-Based Treatment Algorithm and Expert Guidance","Multidisciplinary","","https://pubmed.ncbi.nlm.nih.gov/40847902/?utm_source=Other&utm_medium=rss&utm_campaign=pubmed-2&utm_content=1bo4uOs-bB_ZLOeoRMDuMyKrqOCTTJrR8i4c8aBDtpAcbJ09ch&fc=20250822163228&ff=20250824151739&v=2.18.0.post9+e462414"
